casent,new codes for PTs,species,CL,PoOC,CW,CWb,FRS,SL,EL,MW,PSTI,PEW,PPW,SPBA,SPTI,ML,PEL,NOL,MPST,PEH,NOH,PPH,SPST,PPL,dendroname,lat,long,,CS (µm),PoOC/CL,CL/CW,CL/CWb,FRS/CS,SL/CS,EL/CS,MW/CS,PSTI/CS,PEW/CS,PPW/CS,SPBA/CS,SPTI/CS,ML/CS,PEL/CS,NOL/CS,MPST/CS,PEH/CS,NOH/CS,PPH/CS,SPST/CS,PPL/CS
CASENT_0370735,,excelsior,850,398,715,650,215,598,172,470,468,182,282,180,210,1040,400,260,312,220,140,210,230,180,excelsior-CASENT_0370735,-13.26206,49.60672,,750,0.468235294,1.188811189,1.307692308,0.286666667,0.797333333,0.229333333,0.626666667,0.624,0.242666667,0.376,0.24,0.28,1.386666667,0.533333333,0.346666667,0.416,0.293333333,0.186666667,0.28,0.306666667,0.24
CASENT_0370741,,excelsior,855,402,730,665,218,622,180,470,462,175,268,175,200,1055,400,275,328,212,122,210,210,190,excelsior-CASENT_0370741,-13.26206,49.60672,,760,0.470175439,1.171232877,1.285714286,0.286842105,0.818421053,0.236842105,0.618421053,0.607894737,0.230263158,0.352631579,0.230263158,0.263157895,1.388157895,0.526315789,0.361842105,0.431578947,0.278947368,0.160526316,0.276315789,0.276315789,0.25
CASENT_0370742,,excelsior,795,370,685,630,205,592,160,438,422,178,258,162,205,975,370,260,310,210,130,188,202,170,excelsior-CASENT_0370742,-13.26206,49.60672,,712.5,0.465408805,1.160583942,1.261904762,0.287719298,0.830877193,0.224561404,0.614736842,0.592280702,0.249824561,0.362105263,0.227368421,0.287719298,1.368421053,0.519298246,0.364912281,0.435087719,0.294736842,0.18245614,0.263859649,0.283508772,0.238596491
CASENT_0485067,,excelsior,822,378,700,650,210,600,172,460,452,158,255,155,175,1030,385,250,300,220,130,205,202,180,excelsior-CASENT_0485067,-22.675,44.19,,736,0.459854015,1.174285714,1.264615385,0.285326087,0.815217391,0.233695652,0.625,0.614130435,0.214673913,0.346467391,0.210597826,0.237771739,1.399456522,0.523097826,0.339673913,0.407608696,0.298913043,0.176630435,0.278532609,0.274456522,0.244565217
CASENT_0485067,,excelsior,830,382,702,655,210,605,170,458,452,160,250,150,180,1022,390,262,305,218,130,200,205,185,excelsior-CASENT_0485067,-22.675,44.19,,742.5,0.460240964,1.182336182,1.267175573,0.282828283,0.814814815,0.228956229,0.616835017,0.608754209,0.215488215,0.336700337,0.202020202,0.242424242,1.376430976,0.525252525,0.352861953,0.410774411,0.293602694,0.175084175,0.269360269,0.276094276,0.249158249
CASENT_0485075,,excelsior,852,395,700,650,210,630,170,470,460,168,270,160,172,1040,395,270,320,218,122,210,200,200,excelsior-CASENT_0485075,-22.675,44.19,,751,0.463615023,1.217142857,1.310769231,0.279627164,0.838881491,0.226364847,0.625832224,0.612516644,0.223701731,0.359520639,0.213049268,0.229027963,1.38482024,0.525965379,0.359520639,0.426098535,0.290279627,0.162450067,0.279627164,0.266311585,0.266311585
CASENT_0485075,,excelsior,822,375,680,630,205,612,168,445,445,160,255,152,170,1020,390,265,300,228,128,218,210,195,excelsior-CASENT_0485075,-22.675,44.19,,726,0.45620438,1.208823529,1.304761905,0.282369146,0.842975207,0.231404959,0.612947658,0.612947658,0.220385675,0.351239669,0.209366391,0.23415978,1.404958678,0.537190083,0.365013774,0.41322314,0.314049587,0.17630854,0.300275482,0.289256198,0.268595041
CASENT_0485099,,excelsior,752,330,645,590,190,570,155,418,400,140,228,130,150,915,350,225,280,195,110,182,175,165,excelsior-CASENT_0485099,-22.64333,44.17167,,671,0.438829787,1.165891473,1.274576271,0.283159463,0.84947839,0.23099851,0.62295082,0.596125186,0.208643815,0.339791356,0.193740686,0.223546945,1.363636364,0.521609538,0.335320417,0.41728763,0.290611028,0.163934426,0.27123696,0.260804769,0.245901639
CASENT_0485108,,excelsior,838,390,695,635,210,605,168,450,432,160,252,155,160,1005,380,250,302,202,110,198,205,185,excelsior-CASENT_0485108,-22.64333,44.17167,,736.5,0.465393795,1.205755396,1.319685039,0.285132383,0.821452817,0.228105906,0.610997963,0.586558045,0.21724372,0.342158859,0.210454854,0.21724372,1.364562118,0.515953836,0.339443313,0.410047522,0.274270197,0.149355058,0.268839104,0.278343517,0.251188052
CASENT_0485108,,excelsior,815,362,688,625,202,598,172,430,432,160,262,170,175,1015,390,260,300,210,118,200,185,200,excelsior-CASENT_0485108,-22.64333,44.17167,,720,0.444171779,1.184593023,1.304,0.280555556,0.830555556,0.238888889,0.597222222,0.6,0.222222222,0.363888889,0.236111111,0.243055556,1.409722222,0.541666667,0.361111111,0.416666667,0.291666667,0.163888889,0.277777778,0.256944444,0.277777778
CASENT_0485429,,excelsior,865,400,730,682,235,612,178,500,480,200,285,180,215,1080,422,265,330,255,150,225,220,200,excelsior-CASENT_0485429,-18.26667,45.40667,,773.5,0.462427746,1.184931507,1.268328446,0.303813833,0.791208791,0.230122818,0.646412411,0.620555915,0.258564964,0.368455074,0.232708468,0.277957337,1.396250808,0.545572075,0.342598578,0.426632191,0.32967033,0.193923723,0.290885585,0.284421461,0.258564964
CASENT_0485429,,excelsior,780,348,670,610,210,570,170,440,425,162,245,155,180,955,360,248,290,215,128,190,215,182,excelsior-CASENT_0485429,-18.26667,45.40667,,695,0.446153846,1.164179104,1.278688525,0.302158273,0.820143885,0.244604317,0.633093525,0.611510791,0.233093525,0.352517986,0.223021583,0.258992806,1.374100719,0.517985612,0.356834532,0.417266187,0.309352518,0.184172662,0.273381295,0.309352518,0.261870504
CASENT_0485773,,excelsior,830,370,690,620,215,610,170,450,440,185,278,155,185,1040,405,260,318,218,130,202,205,212,excelsior-CASENT_0485773,-18.26667,45.40667,,725,0.445783133,1.202898551,1.338709677,0.296551724,0.84137931,0.234482759,0.620689655,0.606896552,0.255172414,0.383448276,0.213793103,0.255172414,1.434482759,0.55862069,0.35862069,0.43862069,0.300689655,0.179310345,0.27862069,0.282758621,0.292413793
CASENT_0485773,,excelsior,838,378,680,610,218,610,175,460,450,180,285,160,190,1050,405,270,305,225,132,210,210,202,excelsior-CASENT_0485773,-18.26667,45.40667,,724,0.451073986,1.232352941,1.373770492,0.301104972,0.842541436,0.241712707,0.635359116,0.621546961,0.248618785,0.393646409,0.220994475,0.262430939,1.450276243,0.559392265,0.372928177,0.421270718,0.310773481,0.182320442,0.290055249,0.290055249,0.279005525
CASENT_0485891,,excelsior,828,380,700,640,220,602,162,460,450,170,262,168,200,1050,400,255,310,222,130,205,220,190,excelsior-CASENT_0485891,-18.26667,45.40667,,734,0.458937198,1.182857143,1.29375,0.29972752,0.820163488,0.220708447,0.626702997,0.613079019,0.231607629,0.356948229,0.228882834,0.272479564,1.430517711,0.544959128,0.347411444,0.422343324,0.302452316,0.177111717,0.279291553,0.29972752,0.258855586
CASENT_0485891,,excelsior,825,375,690,642,212,595,170,448,422,160,242,162,175,1010,390,255,302,208,122,200,210,190,excelsior-CASENT_0485891,-18.26667,45.40667,,733.5,0.454545455,1.195652174,1.285046729,0.289025222,0.811179277,0.231765508,0.610770279,0.57532379,0.218132243,0.329925017,0.220858896,0.23858214,1.376959782,0.531697342,0.347648262,0.411724608,0.283571915,0.166325835,0.272665303,0.286298569,0.259032038
